tissue,level1,level2,level3,level4
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.115,Lung.Vascular_endothelial_cells.115
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.122,Lung.Visceral_neurons.122
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.113,Lung.Bronchiolar_and_alveolar_epithelial_cells.113
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.122,Lung.Bronchiolar_and_alveolar_epithelial_cells.122
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.113,Lung.Lymphoid_cells.113
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.113,Lung.Lymphatic_endothelial_cells.113
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.113,Lung.Visceral_neurons.113
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.122,Lung.Myeloid_cells.122
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.115,Lung.Myeloid_cells.115
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.115,Lung.Mesothelial_cells.115
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.113,Lung.Ciliated_epithelial_cells.113
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.122,Lung.Stromal_cells.122
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.115,Lung.Lymphoid_cells.115
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.122,Lung.Lymphoid_cells.122
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.115,Lung.Neuroendocrine_cells.115
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.115,Lung.Ciliated_epithelial_cells.115
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.115,Lung.Bronchiolar_and_alveolar_epithelial_cells.115
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.122,Lung.Ciliated_epithelial_cells.122
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.122,Lung.Vascular_endothelial_cells.122
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.113,Lung.Stromal_cells.113
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.113,Lung.Mesothelial_cells.113
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.122,Lung.Mesothelial_cells.122
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.122,Lung.Squamous_epithelial_cells.122
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.122,Lung.Megakaryocytes.122
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.115,Lung.Megakaryocytes.115
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.113,Lung.Megakaryocytes.113
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.113,Lung.Vascular_endothelial_cells.113
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.115,Lung.Squamous_epithelial_cells.115
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.113,Lung.Neuroendocrine_cells.113
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.115,Lung.Visceral_neurons.115
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.113,Lung.Squamous_epithelial_cells.113
Lung,CSH1_CSH2_positive_cells,Lung.CSH1_CSH2_positive_cells,CSH1_CSH2_positive_cells.115,Lung.CSH1_CSH2_positive_cells.115
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.89,Lung.Stromal_cells.89
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.89,Lung.Lymphatic_endothelial_cells.89
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.89,Lung.Vascular_endothelial_cells.89
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.89,Lung.Megakaryocytes.89
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.89,Lung.Bronchiolar_and_alveolar_epithelial_cells.89
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.89,Lung.Neuroendocrine_cells.89
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.89,Lung.Lymphoid_cells.89
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.89,Lung.Myeloid_cells.89
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.89,Lung.Mesothelial_cells.89
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.89,Lung.Ciliated_epithelial_cells.89
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.89,Lung.Visceral_neurons.89
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.110,Lung.Stromal_cells.110
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.120,Lung.Vascular_endothelial_cells.120
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.110,Lung.Ciliated_epithelial_cells.110
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.110,Lung.Squamous_epithelial_cells.110
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.110,Lung.Bronchiolar_and_alveolar_epithelial_cells.110
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.110,Lung.Neuroendocrine_cells.110
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.120,Lung.Neuroendocrine_cells.120
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.120,Lung.Lymphoid_cells.120
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.120,Lung.Ciliated_epithelial_cells.120
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.110,Lung.Lymphoid_cells.110
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.120,Lung.Bronchiolar_and_alveolar_epithelial_cells.120
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.110,Lung.Lymphatic_endothelial_cells.110
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.120,Lung.Myeloid_cells.120
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.120,Lung.Lymphatic_endothelial_cells.120
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.110,Lung.Vascular_endothelial_cells.110
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.110,Lung.Mesothelial_cells.110
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.110,Lung.Myeloid_cells.110
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.120,Lung.Mesothelial_cells.120
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.120,Lung.Stromal_cells.120
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.110,Lung.Visceral_neurons.110
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.110,Lung.Megakaryocytes.110
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.120,Lung.Visceral_neurons.120
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.120,Lung.Megakaryocytes.120
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.120,Lung.Squamous_epithelial_cells.120
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.89,Lung.Squamous_epithelial_cells.89
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.94,Lung.Vascular_endothelial_cells.94
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.94,Lung.Bronchiolar_and_alveolar_epithelial_cells.94
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.94,Lung.Stromal_cells.94
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.94,Lung.Lymphatic_endothelial_cells.94
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.125,Lung.Visceral_neurons.125
Lung,Vascular_endothelial_cells,Lung.Vascular_endothelial_cells,Vascular_endothelial_cells.125,Lung.Vascular_endothelial_cells.125
Lung,Bronchiolar_and_alveolar_epithelial_cells,Lung.Bronchiolar_and_alveolar_epithelial_cells,Bronchiolar_and_alveolar_epithelial_cells.125,Lung.Bronchiolar_and_alveolar_epithelial_cells.125
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.125,Lung.Myeloid_cells.125
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.125,Lung.Ciliated_epithelial_cells.125
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.125,Lung.Neuroendocrine_cells.125
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.94,Lung.Mesothelial_cells.94
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.94,Lung.Myeloid_cells.94
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.125,Lung.Megakaryocytes.125
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.125,Lung.Lymphoid_cells.125
